1|8181
2|7440
3|14866
4|15304
5|6029
6|5522
7|10780
8|15689
9|10040
10|16075
11|14820
12|1206
13|12123
14|15269
15|9238
16|6871
17|5450
18|13130
19|10481
20|12746
21|13964
22|16289
23|3940
24|5272
25|8849
26|899
27|3676
28|9176
29|11582
30|5862
31|7586
32|4074
33|4736
34|2428
35|14194
36|10816
37|10743
38|1619
39|12943
40|6210
41|2196
42|13027
43|4410
44|4467
45|15512
46|5070
47|6338
48|7143
49|15607
50|4808
51|15281
52|3001
53|9714
54|7079
55|10622
56|10450
57|11648
58|15900
59|14004
60|6030
61|4067
62|523
63|15800
64|6104
65|11365
66|796
67|2561
68|6490
69|13015
70|10099
71|14129
72|4466
73|4180
74|10446
75|11713
76|8216
77|7944
78|15297
79|8186
80|1978
81|2061
82|315
83|4409
84|16119
85|6322
86|16088
87|4092
88|13807
89|4778
90|14889
91|9302
92|857
93|9624
94|14390
95|7847
96|12622
97|12887
98|6896
99|12620
100|9927
101|1580
102|15199
103|1797
104|1198
105|5765
106|2892
107|7819
108|7987
109|666
110|13575
111|9736
112|2689
113|3411
114|14442
115|11273
116|9162
117|14558
118|15694
119|5233
120|10668
121|9935
122|11595
123|8961
124|12330
125|14314
126|1166
127|6819
128|7518
129|269
130|14801
131|7741
132|11607
133|9516
134|4705
135|14940
136|11925
137|6230
138|13199
139|1396
140|8627
141|6272
142|1215
143|13749
144|15016
145|13136
146|12869
147|10878
148|3214
149|13187
150|13896
151|4443
152|32
153|304
154|8225
155|8626
156|12599
157|14994
158|12162
159|6318
160|1420
161|7028
162|5185
163|12933
164|3552
165|9451
166|13829
167|1588
168|11763
169|15035
170|2989
171|2314
172|11448
173|10461
174|2322
175|12004
176|11314
177|15060
178|13673
179|15844
180|1224
181|10261
182|1972
183|428
184|9955
185|15391
186|1760
187|11779
188|14489
189|15144
190|1220
191|12098
192|3099
193|6730
194|9369
195|8097
196|4591
197|11587
198|1719
199|3326
200|3967
201|9376
202|769
203|11931
204|48
205|604
206|14180
207|12925
208|11195
209|12076
210|15798
211|10423
212|6842
213|3572
214|3314
215|16150
216|12179
217|12089
218|10910
219|6574
220|10553
221|4054
222|14279
223|12487
224|7807
225|11704
226|11658
227|6702
228|12704
229|7321
230|10421
231|11357
232|12417
233|14475
234|3224
235|2189
236|15129
237|14960
238|5530
239|7254
240|9775
241|13445
242|7107
243|6048
244|2106
245|15379
246|3281
247|3366
248|8369
249|10118
250|7144
251|14738
252|2932
253|7667
254|10154
255|3480
256|12375
257|15775
258|10663
259|16328
260|7403
261|9634
262|1578
263|15067
264|3444
265|3222
266|10847
267|16276
268|15741
269|9767
270|2329
271|2631
272|14219
273|10863
274|6209
275|2794
276|13013
277|10323
278|11331
279|14389
280|17
281|6991
282|11551
283|3837
284|16285
285|14399
286|4995
287|15517
288|822
289|15812
290|14401
291|6214
292|8506
293|8096
294|13397
295|10796
296|5019
297|1112
298|10233
299|8523
300|6855
301|2866
302|2423
303|6026
304|9331
305|11559
306|1047
307|12362
308|4227
309|12945
310|3724
311|4129
312|3850
313|224
314|12912
315|12202
316|9279
317|8128
318|281
319|4365
320|7072
321|2968
322|4169
323|1639
324|7863
325|14621
326|4213
327|4626
328|12625
329|15710
330|12128
331|15709
332|15019
333|2281
334|14090
335|8601
336|16006
337|6084
338|8876
339|5625
340|193
341|11530
342|16165
343|2374
344|1007
345|502
346|2260
347|13429
348|2711
349|15786
350|2455
351|2243
352|5262
353|10970
354|3781
355|13491
356|6722
357|14468
358|3020
359|4430
360|11899
361|2826
362|3518
363|11908
364|2027
365|10362
366|12326
367|4206
368|14415
369|8885
370|557
371|1717
372|4123
373|6117
374|3202
375|5230
376|10023
377|7572
378|8258
379|6913
380|7864
381|10320
382|9104
